Table 1
✅valid_payload,"`{""name"": ""Alice"", ""email"": ""alice@example.com""}`",,,,,,
❌invalid_payload,"`{""name"": """", ""email"": "" ""}`",,,,,,
No.1,Method,ContentType,Playload,ActualStatusCode,Note,Log,Note
TC24,,"application/x-www-form-urlencoded

",null,500,💣❌,"2025-07-21T14:32:20.917447Z ERROR http-request: loco_rs::controller: controller_error error.msg=Failed to deserialize form body: missing field `email` error.details=AxumFormRejection(FailedToDeserializeFormBody(FailedToDeserializeFormBody(Error { inner: Error { path: Path { segments: [] }, original: Error(""missing field `email`"") } }))) http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=08b0314b-6c35-4154-bac4-4809baa041c6
2025-07-21T14:32:20.917644Z DEBUG http-request: tower_http::trace::on_response: finished processing request latency=0 ms status=500 http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=08b0314b-6c35-4154-bac4-4809baa041c6","`curl --location --request POST 'http://localhost:5150/backend/validations/form_validate' \
--header 'User-Agent: Apifox/1.0.0 (https://apifox.com)' \
--header 'Accept: */*' \
--header 'Host: localhost:5150' \
--header 'Connection: keep-alive' \
--header 'Content-Type: application/x-www-form-urlencoded' \
--data-urlencode ''
`"
TC25,,"application/x-www-form-urlencoded

",{},500,💣❌,"2025-07-21T14:32:20.917447Z ERROR http-request: loco_rs::controller: controller_error error.msg=Failed to deserialize form body: missing field `email` error.details=AxumFormRejection(FailedToDeserializeFormBody(FailedToDeserializeFormBody(Error { inner: Error { path: Path { segments: [] }, original: Error(""missing field `email`"") } }))) http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=08b0314b-6c35-4154-bac4-4809baa041c6
2025-07-21T14:32:20.917644Z DEBUG http-request: tower_http::trace::on_response: finished processing request latency=0 ms status=500 http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=08b0314b-6c35-4154-bac4-4809baa041c6","Failed to deserialize form body: missing field `name` error.details=AxumFormRejection(FailedToDeserializeFormBody(FailedToDeserializeFormBody(Error { inner: Error { path: Path { segments: [] }, original: Error(""missing field `name`"") } }))) "
TC26,,"application/json
",valid_payload,200,💣❌,"2025-07-21T14:33:12.530754Z DEBUG http-request: tower_http::trace::on_request: started processing request http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=d15a79d0-1bb1-4d6f-845f-d7583321d17d
2025-07-21T14:33:12.530908Z ERROR http-request: loco_rs::controller: controller_error error.msg=Form requests must have `Content-Type: application/x-www-form-urlencoded` error.details=AxumFormRejection(InvalidFormContentType(InvalidFormContentType)) http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=d15a79d0-1bb1-4d6f-845f-d7583321d17d
2025-07-21T14:33:12.531013Z DEBUG http-request: tower_http::trace::on_response: finished processing request latency=0 ms status=500 http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=d15a79d0-1bb1-4d6f-845f-d7583321d17d
2025-07-21T14:33:12.531044Z ERROR http-request: tower_http::trace::on_failure: response failed classification=Status code: 500 Internal Server Error latency=0 ms http.method=POST http.uri=/backend/validations/form_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=d15a79d0-1bb1-4d6f-845f-d7583321d17d",Form requests must have `Content-Type: application/x-www-form-urlencoded`
,,"application/json
",invalid_payload,400,💣❌,,Form requests must have `Content-Type: application/x-www-form-urlencoded`
,,"application/json
",null,500,💣❌,,Form requests must have `Content-Type: application/x-www-form-urlencoded`
,,"application/json
",{},500,💣❌,,Form requests must have `Content-Type: application/x-www-form-urlencoded`
,,"application/json
",,,,,Form requests must have `Content-Type: application/x-www-form-urlencoded`
,form_validate,"application/x-www-form-urlencoded

",valid_payload,200,✅Expected,,Form requests must have `Content-Type: application/x-www-form-urlencoded`
,,"application/x-www-form-urlencoded

",invalid_payload,400,✅Expected,,
,,"application/x-www-form-urlencoded

",null,500,💣❌,,
,,"application/x-www-form-urlencoded

",{},500,💣❌,,
,,No need to test-cause only support content-type,,,,,
